time,open,close
2023-06-10T18:45:00Z,25707,25655
2023-06-10T18:50:00Z,25661,25705
2023-06-10T18:55:00Z,25683,25580
2023-06-10T19:00:00Z,25586,25663
2023-06-10T19:05:00Z,25654,25589
2023-06-10T19:10:00Z,25588,25587
2023-06-10T19:15:00Z,25594,25631
2023-06-10T19:20:00Z,25630,25617
2023-06-10T19:25:00Z,25606,25629
2023-06-10T19:30:00Z,25630,25654
2023-06-10T19:35:00Z,25651,25684
2023-06-10T19:40:00Z,25679,25686
2023-06-10T19:45:00Z,25692,25740
2023-06-10T19:50:00Z,25740,25728
2023-06-10T19:55:00Z,25723,25761
2023-06-10T20:00:00Z,25760,25739
2023-06-10T20:05:00Z,25741,25702
2023-06-10T20:10:00Z,25700,25715
2023-06-10T20:15:00Z,25721,25730
2023-06-10T20:20:00Z,25737,25750
2023-06-10T20:25:00Z,25745,25740
2023-06-10T20:30:00Z,25758,25843
2023-06-10T20:35:00Z,25844,25834
2023-06-10T20:40:00Z,25845,25807
2023-06-10T20:45:00Z,25807,25824
2023-06-10T20:50:00Z,25824,25796
2023-06-10T20:55:00Z,25791,25766
2023-06-10T21:00:00Z,25780,25750
2023-06-10T21:05:00Z,25746,25740
2023-06-10T21:10:00Z,25741,25728
2023-06-10T21:15:00Z,25737,25746
2023-06-10T21:20:00Z,25741,25741
2023-06-10T21:25:00Z,25740,25736
2023-06-10T21:30:00Z,25742,25739
2023-06-10T21:35:00Z,25760,25776
2023-06-10T21:40:00Z,25777,25788
2023-06-10T21:45:00Z,25789,25793
2023-06-10T21:50:00Z,25804,25768
2023-06-10T21:55:00Z,25768,25783
2023-06-10T22:00:00Z,25789,25786
2023-06-10T22:05:00Z,25786,25789
2023-06-10T22:10:00Z,25788,25787
2023-06-10T22:15:00Z,25783,25834
2023-06-10T22:20:00Z,25828,25849
2023-06-10T22:25:00Z,25856,25835
2023-06-10T22:30:00Z,25849,25903
2023-06-10T22:35:00Z,25889,25878
2023-06-10T22:40:00Z,25891,25927
2023-06-10T22:45:00Z,25923,25887
2023-06-10T22:50:00Z,25890,25885
2023-06-10T22:55:00Z,25887,25892
2023-06-10T23:00:00Z,25895,25872
2023-06-10T23:05:00Z,25875,25880
2023-06-10T23:10:00Z,25880,25877
2023-06-10T23:15:00Z,25878,25895
2023-06-10T23:20:00Z,25888,25881
2023-06-10T23:25:00Z,25882,25874
2023-06-10T23:30:00Z,25880,25870
2023-06-10T23:35:00Z,25867,25855
2023-06-10T23:40:00Z,25857,25869
2023-06-10T23:45:00Z,25878,25861
2023-06-10T23:50:00Z,25863,25858
2023-06-10T23:55:00Z,25860,25857
2023-06-11T00:00:00Z,25857,25849
2023-06-11T00:05:00Z,25834,25824
2023-06-11T00:10:00Z,25834,25816
2023-06-11T00:15:00Z,25817,25797
2023-06-11T00:20:00Z,25805,25817
2023-06-11T00:25:00Z,25817,25842
2023-06-11T00:30:00Z,25829,25813
2023-06-11T00:35:00Z,25811,25828
2023-06-11T00:40:00Z,25826,25766
2023-06-11T00:45:00Z,25781,25787
2023-06-11T00:50:00Z,25787,25794
2023-06-11T00:55:00Z,25794,25768
2023-06-11T01:00:00Z,25781,25774
2023-06-11T01:05:00Z,25772,25783
2023-06-11T01:10:00Z,25782,25792
2023-06-11T01:15:00Z,25794,25791
2023-06-11T01:20:00Z,25791,25786
2023-06-11T01:25:00Z,25781,25800
2023-06-11T01:30:00Z,25803,25823
2023-06-11T01:35:00Z,25826,25851
2023-06-11T01:40:00Z,25840,25844
2023-06-11T01:45:00Z,25853,25840
2023-06-11T01:50:00Z,25837,25846
2023-06-11T01:55:00Z,25846,25843
2023-06-11T02:00:00Z,25842,25820
2023-06-11T02:05:00Z,25817,25801
2023-06-11T02:10:00Z,25810,25797
2023-06-11T02:15:00Z,25796,25787
2023-06-11T02:20:00Z,25787,25784
2023-06-11T02:25:00Z,25783,25780
2023-06-11T02:30:00Z,25783,25796
2023-06-11T02:35:00Z,25795,25795
2023-06-11T02:40:00Z,25795,25804
2023-06-11T02:45:00Z,25808,25797
2023-06-11T02:50:00Z,25798,25780
2023-06-11T02:55:00Z,25775,25783
2023-06-11T03:00:00Z,25781,25768
2023-06-11T03:05:00Z,25772,25756
2023-06-11T03:10:00Z,25758,25749
2023-06-11T03:15:00Z,25753,25754
2023-06-11T03:20:00Z,25747,25766
2023-06-11T03:25:00Z,25765,25767
2023-06-11T03:30:00Z,25769,25748
2023-06-11T03:35:00Z,25757,25772
2023-06-11T03:40:00Z,25772,25768
2023-06-11T03:45:00Z,25767,25744
2023-06-11T03:50:00Z,25744,25732
2023-06-11T03:55:00Z,25737,25745
2023-06-11T04:00:00Z,25743,25728
2023-06-11T04:05:00Z,25732,25713
2023-06-11T04:10:00Z,25714,25719
2023-06-11T04:15:00Z,25723,25703
2023-06-11T04:20:00Z,25703,25696
2023-06-11T04:25:00Z,25692,25704
2023-06-11T04:30:00Z,25706,25701
